Date,y_pred,y_test
2019-09-14,1,1
2019-09-15,1,1
2019-09-16,0,0
2019-09-17,1,1
2019-09-18,2,2
2019-09-19,2,2
2019-09-20,1,1
2019-09-21,2,2
2019-09-22,2,2
2019-09-23,0,0
2019-09-24,2,2
2019-09-25,2,2
2019-09-26,2,2
2019-09-27,1,1
2019-09-28,0,0
2019-09-29,2,2
2019-09-30,1,2
2019-10-01,2,2
2019-10-02,1,1
2019-10-03,2,2
2019-10-04,2,2
2019-10-05,2,2
2019-10-06,2,2
2019-10-07,1,2
2019-10-08,2,2
2019-10-09,1,2
2019-10-10,2,2
2019-10-11,2,2
2019-10-12,1,1
2019-10-13,2,2
2019-10-14,2,2
2019-10-15,0,0
2019-10-16,0,0
2019-10-17,1,1
2019-10-18,2,2
2019-10-19,2,2
2019-10-20,2,2
2019-10-21,2,2
2019-10-22,2,2
2019-10-23,2,1
2019-10-24,2,2
2019-10-25,2,2
2019-10-26,2,2
2019-10-27,2,1
2019-10-28,2,2
2019-10-29,2,2
2019-10-30,2,1
2019-10-31,2,2
2019-11-01,2,2
2019-11-02,2,2
2019-11-03,0,0
2019-11-04,2,1
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,2,1
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,2,1
2019-11-12,2,1
2019-11-13,0,0
2019-11-14,0,0
2019-11-15,2,1
2019-11-16,0,0
2019-11-17,0,0
2019-11-18,2,1
2019-11-19,0,0
2019-11-20,2,1
2019-11-21,0,0
2019-11-22,0,0
2019-11-23,0,0
2019-11-24,0,0
2019-11-25,0,0
2019-11-26,0,0
2019-11-27,2,1
2019-11-28,0,0
2019-11-29,1,1
2019-11-30,0,0
2019-12-01,2,1
2019-12-02,2,1
2019-12-03,0,0
2019-12-04,0,0
2019-12-05,2,1
2019-12-06,2,2
2019-12-07,0,0
2019-12-08,0,0
2019-12-09,0,0
2019-12-10,2,1
2019-12-11,1,1
2019-12-12,2,1
2019-12-13,0,0
2019-12-14,0,0
2019-12-15,2,1
2019-12-16,0,0
2019-12-17,0,0
2019-12-18,1,1
2019-12-19,2,1
2019-12-20,0,0
2019-12-21,0,0
2019-12-22,2,1
2019-12-23,2,1
2019-12-24,0,0
2019-12-25,2,2
2019-12-26,2,2
2019-12-27,1,1
2019-12-28,0,0
2019-12-29,0,0
2019-12-30,0,0
